ID,Nombre,Edad,Correo,Género,Fecha_Registro,País,Ingreso_Anual,Suscripción
1,Mtro. Abelardo Rincón,62,horacio30@herrera-jaquez.biz,Male,22-Aug-23,EEUU,28079.89295159107,1
2,Abigail Salcedo,,trevinoignacio@industrias.com,masculino,2023-07-26,México,"$29,392.28",0
3,Luisa Diego Bravo Orellana,29,ana-mariapadilla@gmail.com,f,2025/02/07,México,78086.44,0
4,Mtro. Claudia López,veinticinco,elias09@gollum-lemus.com,M,07-12-2024,USA,65488.92527390552,True
5,Lic. Ana María Gamez,,fabiolabaca@club.info,m,09-03-2023,United States,"$42,532.99",Sí
6,Lic. Samuel Llamas,,azarate@hotmail.com,m,06/02/2024,Mex.,60543.22924555456,0
7,Santiago Lozada,18,negronjuan-carlos@@gmail.com,f,2024/07/26,USA,"$51,251.41",True
8,Óliver Daniela Hidalgo,,qmontez@hotmail.com,Female,19/02/2024,United States,70181.27,1
9,Lic. Bianca Guillen,veinticinco,gabino54@industrias.com,M,28/05/2024,México,"$42,634.57",True
10,Dulce María Elsa Macías,31,juliacadena@olivo.info,f,10-23-2024,México,"$24,165.29",
11,Omar Gracia,21,tamaya@hotmail.com,M,11/11/2024,USA,71012.6436367897,1
12,Indira Abigail Ordóñez Carrasco,34,eugenio14@hotmail.com,f,2024-09-09,Mex.,67020.50,False
13,Dr. Rodrigo Almaraz,veinticinco,itzel72@hotmail.com,M,,Mex.,,True
14,Nelly Malave,52,bosorio@yahoo.com,Female,03-08-2024,MEX,87158.88237944084,No
15,Jos Darío Segovia,veinticinco,sofia33@duarte-rios.com,masculino,2023/06/23,United States,"$95,425.38",No
16,Lilia Irma Barraza de la O,20,jose-carlos03@@nevarez.com,m,29-Apr-24,México,78551.79,1
17,Ana María Puga,veinticinco,saiznorma@gmail.com,Female,2024/05/02,México,75736.08396335432,False
18,Lic. Angélica Menchaca,veinticinco,lharo@yahoo.com,F,25/02/2024,EEUU,43163.2485375378,0
19,Cristobal Gabino Saldaña,,camador@hotmail.com,f,2023-06-11,México,29527.43,True
20,Timoteo Macías Curiel,63,mateomartin@cavazos.com,F,2023/11/24,Mex.,21772.15,Sí
21,Dr. Ivonne Otero,30,aolivares@@hotmail.com,femenino,2024/07/24,USA,86461.93774390765,False
22,Minerva Valdez,27,pinaelsa@yahoo.com,M,2023-09-17,MEX,26836.137625219642,True
23,Modesto Acevedo Olivas,39,pablo62@negrete-medrano.biz,Female,2024-10-25,EEUU,60747.56,False
24,Rosalia Carlos Castro,53,micaela09@grupo.com,,03-24-2024,USA,60724.51,No
25,Lic. Adán Galindo,25,umontalvo@hotmail.com,m,17/10/2023,Mex.,"$60,593.83",True
26,Adriana Wendolin Arias,63,esperanza33@gmail.com,femenino,12-07-2024,USA,56607.988161878486,True
27,Lic. Natividad Godoy,,nayelibaeza@laboratorios.com,femenino,13/07/2023,MEX,63928.32,No
28,Mauro Padrón Montenegro,41,psierra@garcia.com,F,2024-04-04,United States,44095.56707190076,No
29,Gloria Alma Gálvez Garica,28,victoriamenendez@yahoo.com,femenino,2025-01-29,México,"$63,200.56",1
30,Mtro. Israel Manzanares,,clemente03@hotmail.com,femenino,2023/07/28,,"$48,701.92",0
31,Indira Úrsula Domínguez,,moralourdes@yahoo.com,femenino,2023-12-15,USA,"$60,609.97",1
32,Dulce Pascual Saldivar Zapata,veinticinco,samaniegoanel@hotmail.com,masculino,04-10-2024,EEUU,"$69,467.92",0
33,Luz Conchita Quesada Esquibel,19,guillermomiranda@de.com,masculino,2023/07/19,Mex.,"$57,657.20",0
34,María Teresa Ivonne González Lucero,,,F,12-22-2023,USA,50798.29626050619,True
35,Lucía Gabriel Lucero,,francoespartaco@gmail.com,masculino,08-06-2023,,53881.48927734737,No
36,Natalia Montalvo Zaragoza,veinticinco,catalina89@yahoo.com,masculino,2024/07/25,México,36217.52,0
37,Olga Ríos Orosco,veinticinco,rangelabelardo@@rodrigez-botello.com,M,2024-01-28,United States,47046.33,True
